"","Year","NestID","Mass","Latitude","Longitude"
"1","2017","JAG1",52.5,-33.95750849,18.46084224
"2","2017","MENZ2",100.4,-33.958675,18.460244
"3","2017","HWP1",94.2,-33.956246,18.461604
"4","2017","HWP1",78.2,-33.956246,18.461604
"5","2017","CHI",98.8,-33.955546,18.461156
"6","2017","CHI",83.4,-33.955546,18.461156
"7","2017","MENZ3",80.4,-33.95813,18.460264
"8","2017","MENZ3",91.8,-33.95813,18.460264
"9","2017","MENZ3",98.3,-33.95813,18.460264
"10","2017","JAG4",67.5,-33.957951,18.460775
"11","2017","JAG4",67.6,-33.957951,18.460775
"12","2017","CAF1",84.7,-33.956848,18.460685
"14","2017","MAM2",94.1,-33.957324,18.461757
"16","2017","MECH",92.8,-33.958579,18.460874
"17","2017","MCB2",97,-33.955361,18.460883
"18","2017","MCB2",97.3,-33.955361,18.460883
"22","2017","SNAPE2",101.4,-33.958597,18.459671
"23","2017","SNAPE2",109.8,-33.958597,18.459671
"24","2017","NEV1",99.6,-33.959826,18.45979
"25","2017","NEV1",94.2,-33.959826,18.45979
"26","2017","MENZ1",104.5,-33.958495,18.460032
"27","2017","MENZ1",106.1,-33.958495,18.460032
"28","2017","FITZ",114.2,-33.95655,18.461068
"29","2018","HWP1",45.2,-33.956246,18.461604
"30","2018","CAF2",72.4,-33.957035,18.460674
"32","2018","JAG2",72.3,-33.957956,18.460899
"33","2018","CSCI3",73.5,-33.957104,18.460942
"34","2018","CSCI3",85.8,-33.957104,18.460942
"35","2018","NEV1",110,-33.959826,18.45979
"36","2018","NEV1",120,-33.959826,18.45979
"37","2018","CHI",105,-33.955546,18.461156
"38","2018","JAM2",64,-33.95778,18.460758
"41","2018","SNAPE1",84,-33.959067,18.459541
"42","2018","SNAPE1",91.1,-33.959067,18.459541
"43","2018","MENZ3",114.1,-33.95813,18.460264
"44","2018","MENZ3",117.8,-33.95813,18.460264
"45","2018","MECH",119.7,-33.958579,18.460874
"46","2018","EGS",102.6,-33.957427,18.460121
"47","2018","EGS",104.5,-33.957427,18.460121
"48","2018","PSY",92,-33.9555578,18.460466
