Year,NestID,Mass,Latitude,Longitude
2017,JAG1,52.5,-33.95750849,18.46084224
2017,MENZ2,100.4,-33.958675,18.460244
2017,HWP1,94.2,-33.956246,18.461604
2017,HWP1,78.2,-33.956246,18.461604
2017,CHI,98.8,-33.955546,18.461156
2017,CHI,83.4,-33.955546,18.461156
2017,MENZ3,80.4,-33.95813,18.460264
2017,MENZ3,91.8,-33.95813,18.460264
2017,MENZ3,98.3,-33.95813,18.460264
2017,JAG4,67.5,-33.957951,18.460775
2017,JAG4,67.6,-33.957951,18.460775
2017,CAF1,84.7,-33.956848,18.460685
2017,MAM2,94.1,-33.957324,18.461757
2017,MECH,92.8,-33.958579,18.460874
2017,MCB2,97,-33.955361,18.460883
2017,MCB2,97.3,-33.955361,18.460883
2017,SNAPE2,101.4,-33.958597,18.459671
2017,SNAPE2,109.8,-33.958597,18.459671
2017,NEV1,99.6,-33.959826,18.45979
2017,NEV1,94.2,-33.959826,18.45979
2017,MENZ1,104.5,-33.958495,18.460032
2017,MENZ1,106.1,-33.958495,18.460032
2017,FITZ,114.2,-33.95655,18.461068
2018,HWP1,45.2,-33.956246,18.461604
2018,CAF2,72.4,-33.957035,18.460674
2018,JAG2,72.3,-33.957956,18.460899
2018,CSCI3,73.5,-33.957104,18.460942
2018,CSCI3,85.8,-33.957104,18.460942
2018,NEV1,110,-33.959826,18.45979
2018,NEV1,120,-33.959826,18.45979
2018,CHI,105,-33.955546,18.461156
2018,JAM2,64,-33.95778,18.460758
2018,SNAPE1,84,-33.959067,18.459541
2018,SNAPE1,91.1,-33.959067,18.459541
2018,MENZ3,114.1,-33.95813,18.460264
2018,MENZ3,117.8,-33.95813,18.460264
2018,MECH,119.7,-33.958579,18.460874
2018,EGS,102.6,-33.957427,18.460121
2018,EGS,104.5,-33.957427,18.460121
2018,PSY,92,-33.9555578,18.460466
2018,PSY,93.1,-33.9555578,18.460466
2018,SNAPE2,112.7,-33.958597,18.459671
2018,SNAPE2,100.2,-33.958597,18.459671
2018,SNAPE2,95.6,-33.958597,18.459671
2018,EGS,92.8,-33.957427,18.460121
2019,MOL,73.6,-33.957391,18.461094
2019,MOL,58.8,-33.957391,18.461094
2019,LIB4,56.1,-33.957914,18.460449
2019,LIB4,48.7,-33.957914,18.460449
2019,CAF1,65.8,-33.956848,18.460685
2019,CAF1,75.9,-33.956848,18.460685
2019,CAF1,56.7,-33.956848,18.460685
2019,MENZ2,91.2,-33.958675,18.460244
2019,CSCI3,64.4,-33.957104,18.460942
2019,NEV1,114.4,-33.959826,18.45979
2019,CAF2,99.6,-33.957035,18.460674
2019,MENZ3,104.5,-33.95813,18.460264
2019,MENZ3,111.2,-33.95813,18.460264
2019,MENZ3,105.5,-33.95813,18.460264
2019,LSOC,55.1,-33.959498,18.460231
2019,LSOC,49.8,-33.959498,18.460231
2019,BT,95.3,-33.959095,18.460957
2019,MECH4,84.3,-33.958579,18.460874
2019,MECH4,78,-33.958579,18.460874
2019,MECH4,60.5,-33.958579,18.460874
2019,JAG1,92.1,-33.95750849,18.46084224
2019,JAG1,86.1,-33.95750849,18.46084224
2019,MCB2,60.3,-33.955361,18.460883
2019,MCB2,99.9,-33.955361,18.460883
2019,MCB2,95,-33.955361,18.460883
2019,RWJ,64.8,-33.955969,18.4616867
2019,RWJ,81.3,-33.955969,18.4616867
2019,ACJ2,100,-33.958394,18.461228
2019,ACJ2,71.6,-33.958394,18.461228
2019,MENZ1,108.5,-33.958495,18.460032
2019,MENZ1,100.3,-33.958495,18.460032
2019,SNAPE2,81.4,-33.958597,18.459671
2019,SNAPE2,93.6,-33.958597,18.459671
2019,SNAPE2,62,-33.958597,18.459671
2019,JAG3,71,-33.957967,18.46096
2019,PSY,88.5,-33.9555578,18.460466
