Safring,Readring,code,Date,Year,NestID,Female rings,Male rings,Initial clutch size,Brood,Nestling,Age,Readring colour,Text colour,Mass,Left tarsus,right tarsus,Left wing,Right wing,Tail,head
D92342,AA,1-X,2017/11/17,2017,JAG1,RMGG,PMPG,2,1,1,15,Red,White,52.5,32.4,33.3,54,50,NA,42.35
D92343,AB,1,2017/11/17,2017,MENZ2,XXXX,XXXX,NA,1,1,>15,Red,White,100.4,37.85,38.2,76,77,NA,47.8
D92344,AC,1-X,2017/11/20,2017,HWP1,BMRP,BMBR,NA,2,1,15,Red,White,94.2,38.6,NA,76,73,NA,49.15
D92345,AD,1,2017/11/20,2017,HWP1,BMRP,BMBR,NA,2,2,15,Red,White,78.2,35.6,NA,65,67,NA,46.05
D92346,AF,1,2017/11/22,2017,CHI,XXXX,RMRY,NA,2,1,>15,Red,White,98.8,36.65,36.5,82,83,NA,37.45
D92347,AE,1,2017/11/22,2017,CHI,XXXX,RMRY,NA,2,2,<15,Red,White,83.4,34.85,34.4,66,68,NA,34.4
D92348,AG,1,2017/11/23,2017,MENZ3,XXXX,GMRB,3,3,1,<15,Red,White,80.4,35.4,35.5,60,59,NA,33.45
D92349,AI,1,2017/11/23,2017,MENZ3,XXXX,GMRB,3,3,2,15,Red,White,91.8,36.8,37.6,75,70,NA,45.95
D92350,AH,1,2017/11/23,2017,MENZ3,XXXX,GMRB,3,3,3,<15,Red,White,98.3,38.45,38.6,71,70,NA,36.85
D92551,AJ,1,2017/11/24,2017,JAG4,BMRO,XXXX,3,2,1,15,Red,White,67.5,34.6,34.4,61,62,NA,44.9
D92552,AK,1,2017/11/24,2017,JAG4,BMRO,XXXX,3,2,2,15,Red,White,67.6,33.7,33.7,60,59,NA,43.8
D92553,AL,1,2017/11/24,2017,CAF1,XXXX,OMRW,3,1,1,>15,Red,White,84.7,35.25,35,71,70,NA,45.05
D92554,AM,2-X,2017/11/27,2017,NEV1,XXXX,XXXX,NA,3,1,>22,Red,White,NA,39.6,39.95,107,115,6.6,52
D92555,AN,2-X,2017/11/29,2017,MAM2,PMYW,XXXX,NA,1?,1,25,Red,White,94.1,38,38.15,126,124,6.8,51.05
D92556,N/SAF,2,2017/12/01,2017,IVY,XXXX,YMGP,NA,2?,1,27,NA,NA,81.1,36.2,37,111,112,6.1,49.8
D92557,AO,1,2017/12/03,2017,MECH,XXXX,XXXX,2,1,1,15,Red,White,92.8,35.35,36,59,61,NA,45.15
